N_Illesi,N_Feriti,N_Morti,UnixDate,LAT,LNG
1,1,0,1451551500.0,45.705351,9.685985
3,0,0,1451510400.0,45.691092,9.701064
1,0,0,1451467500.0,45.704740,9.678039
5,0,0,1451489400.0,45.686879,9.686566
1,1,0,1451467800.0,45.690489,9.647538
1,1,0,1451475300.0,45.687755,9.672004
0,1,0,1451483940.0,45.719899,9.660151
8,0,0,1451504700.0,45.689078,9.646875
1,1,0,1451427900.0,45.677581,9.685341
1,1,0,1451379600.0,45.690048,9.704730
2,0,0,1451393700.0,45.675523,9.645384
1,1,0,1451398200.0,45.693546,9.692369
3,1,0,1451416800.0,45.686917,9.662863
1,1,0,1451296800.0,45.713832,9.682039
1,1,0,1451301600.0,45.688079,9.664808
4,2,0,1451248080.0,45.687985,9.667425
1,1,0,1451121960.0,45.699243,9.678152
2,3,0,1451168400.0,45.688884,9.670355
1,1,0,1451073600.0,45.706381,9.688502
1,1,0,1451028000.0,45.711598,9.699213
1,1,0,1450987200.0,45.696626,9.714032
4,0,0,1450995600.0,45.702777,9.660521
1,1,0,1450962480.0,45.703978,9.677216
1,2,0,1450912380.0,45.694592,9.688581
1,0,0,1450944600.0,45.677314,9.685709
1,0,0,1450947600.0,45.688157,9.667599
1,0,0,1450893000.0,45.700877,9.670737
2,0,0,1450863000.0,45.695144,9.667730
2,0,0,1450855200.0,45.695619,9.673698
2,0,0,1450890000.0,45.692776,9.667629
1,0,0,1450800000.0,45.705658,9.690415
0,3,0,1450800600.0,45.675727,9.646036
2,0,0,1450814400.0,45.686037,9.668790
3,0,0,1450800600.0,45.682582,9.678957
1,1,0,1450803360.0,45.713880,9.667253
0,1,0,1450681800.0,45.700258,9.688368
3,0,0,1450690200.0,45.694592,9.688581
1,1,0,1450719900.0,45.692500,9.691365
0,1,0,1450691100.0,45.685223,9.664197
2,1,0,1450722600.0,45.675140,9.677330
3,0,0,1450714800.0,45.690421,9.629942
0,1,0,1450615800.0,45.719191,9.661079
1,3,0,1450621200.0,45.701223,9.678084
1,0,0,1450521300.0,45.694345,9.681971
4,0,0,1450524600.0,45.700800,9.678602
1,0,0,1450545300.0,45.678436,9.688200
3,0,0,1450551600.0,45.705034,9.695780
1,2,0,1450526400.0,45.702233,9.681381
3,0,0,1450535100.0,45.688883,9.670327
1,2,0,1450522800.0,45.710547,9.664856
1,1,0,1450522200.0,45.702180,9.686680
2,0,0,1450550400.0,45.704083,9.694265
2,2,0,1450465200.0,45.676001,9.661111
8,0,0,1450446300.0,45.691502,9.671733
2,0,0,1450450800.0,45.690166,9.644971
2,1,0,1450393800.0,45.698156,9.666221
3,0,0,1450458000.0,45.683168,9.662234
3,1,0,1450463700.0,45.707257,9.699560
1,0,0,1450447200.0,45.669070,9.675309
3,0,0,1450450800.0,45.676285,9.684284
1,1,0,1450460640.0,45.690789,9.691311
0,1,0,1450466100.0,45.708741,9.681560
2,3,0,1450345500.0,45.678361,9.669928
2,0,0,1450335900.0,45.688980,9.655922
0,1,0,1450362600.0,45.704494,9.677670
2,0,0,1450365600.0,45.676244,9.661324
3,0,0,1450369800.0,45.690552,9.630627
2,0,0,1450372500.0,45.675540,9.669653
2,0,0,1450351800.0,45.673320,9.673760
3,0,0,1450287900.0,45.676530,9.671313
0,1,0,1450302960.0,45.686054,9.668762
1,3,0,1450258800.0,45.677821,9.648548
2,0,0,1450273800.0,45.707424,9.690822
2,0,0,1450277400.0,45.696713,9.673291
1,1,0,1450285200.0,45.702944,9.672080
2,1,0,1450192200.0,45.689676,9.661348
1,1,0,1450189800.0,45.677373,9.649297
3,2,0,1450200900.0,45.679601,9.674117
4,2,0,1450200300.0,45.676149,9.662528
1,1,0,1450177200.0,45.710209,9.683179
1,1,0,1450205400.0,45.705347,9.686023
1,0,0,1450079400.0,45.711510,9.666639
0,0,0,1450094400.0,45.684365,9.670077
1,1,0,1450107000.0,45.715908,9.692730
2,0,0,1450107300.0,45.690504,9.647553
2,0,0,1450083900.0,45.676295,9.666640
1,1,0,1449912600.0,45.690258,9.660439
3,0,0,1449922800.0,45.685102,9.683287
2,1,0,1449945600.0,45.696801,9.669176
4,0,0,1449960600.0,45.676402,9.665761
2,0,0,1449824400.0,45.695920,9.668845
1,1,0,1449867000.0,45.686041,9.662687
0,1,0,1449838800.0,45.693678,9.678364
2,0,0,1449745800.0,45.695959,9.652681
6,0,0,1449757800.0,45.688971,9.670357
1,1,0,1449767100.0,45.692985,9.628362
